Program,ArraySize,Compiler,Optimization,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Average
fast,1000000,gcc,o2,0.0664243,0.0665216,0.0666573,0.0693378,0.0695086,0.0673605,0.0654786,0.0662483,0.0660345,0.0661601,
fast,1000000,polly,interchanged,0.0233051,0.0267368,0.0252631,0.0272934,0.0317019,0.0271097,0.0348177,0.0352842,0.0259491,0.0237908,
fast,1000000,polly,interchanged+tiled,0.0252015,0.0281186,0.0309575,0.0290124,0.0284196,0.0257064,0.0286255,0.0292585,0.0268588,0.0274197,
fast,1000000,polly,interchanged+tiled+vector,0.022727,0.0239071,0.0317503,0.0327987,0.0368472,0.0287465,0.0243861,0.0256374,0.0256757,0.0246088,
fast,1000000,polly,interchanged+tiled+vector+openmp,0.032108,0.0271764,0.0239144,0.0245126,0.0252975,0.0238201,0.0249532,0.026973,0.027282,0.0293788,
fast,1000000,polly,normalopt,0.0250206,0.0274968,0.0266322,0.0286855,0.0325803,0.0258041,0.0271574,0.0264498,0.0272675,0.0269363,
fast,10000000,gcc,o2,0.615232,0.618387,0.610762,0.610944,0.616922,0.617516,0.610464,0.617213,0.642449,0.616011,
fast,10000000,polly,interchanged,0.223342,0.212343,0.21041,0.207536,0.204164,0.205081,0.200941,0.20271,0.202505,0.202027,
fast,10000000,polly,interchanged+tiled,0.206423,0.202531,0.202513,0.203717,0.203292,0.205531,0.204077,0.20253,0.203787,0.203116,
fast,10000000,polly,interchanged+tiled+vector,0.201378,0.206147,0.207311,0.202922,0.203401,0.201966,0.2025,0.210066,0.201188,0.203199,
fast,10000000,polly,interchanged+tiled+vector+openmp,0.206214,0.204119,0.204736,0.208558,0.208587,0.205913,0.205776,0.220396,0.239343,0.211134,
fast,10000000,polly,normalopt,0.203866,0.202657,0.200772,0.202615,0.205889,0.200462,0.201976,0.205807,0.202837,0.21801,
fast,20000000,gcc,o2,1.21823,1.24571,1.27399,1.29606,1.22031,1.22493,1.22161,1.22337,1.32766,1.24408,
fast,20000000,polly,interchanged,0.399223,0.398846,0.401122,0.399597,0.396518,0.398937,0.397783,0.40277,0.397026,0.397346,
fast,20000000,polly,interchanged+tiled,0.400723,0.402114,0.401455,0.397087,0.422838,0.437797,0.398401,0.403827,0.399215,0.40234,
fast,20000000,polly,interchanged+tiled+vector,0.397971,0.400542,0.396384,0.406516,0.395383,0.409411,0.445291,0.394146,0.399899,0.394616,
fast,20000000,polly,interchanged+tiled+vector+openmp,0.413427,0.403746,0.404099,0.402639,0.401105,0.401,0.402977,0.402597,0.403458,0.454237,
fast,20000000,polly,normalopt,0.426181,0.430224,0.400004,0.413381,0.39992,0.398715,0.424736,0.398898,0.413349,0.400742,
fast,30000000,gcc,o2,1.84769,1.84055,1.97362,1.96011,1.83077,1.82072,1.83323,1.82865,1.83978,1.81693,
fast,30000000,polly,interchanged,0.595311,0.594476,0.590377,0.592556,0.590279,0.593901,0.594414,0.590114,0.592785,0.589012,
fast,30000000,polly,interchanged+tiled,0.604296,0.605405,0.655468,0.59964,0.611057,0.597747,0.599062,0.597727,0.594912,0.597675,
fast,30000000,polly,interchanged+tiled+vector,0.595665,0.592253,0.592523,0.593417,0.591955,0.657642,0.611185,0.592216,0.592478,0.591324,
fast,30000000,polly,interchanged+tiled+vector+openmp,0.600229,0.595876,0.595521,0.594727,0.60179,0.601014,0.597226,0.601242,0.613926,0.65345,
fast,30000000,polly,normalopt,0.592225,0.593165,0.593803,0.595611,0.645572,0.632889,0.629513,0.625725,0.59733,0.591891,
fast,40000000,gcc,o2,2.42969,2.42267,2.43651,2.43744,2.43008,2.48733,2.42697,2.43153,2.49543,2.43093,
fast,40000000,polly,interchanged,0.784181,0.786932,0.790951,0.784981,0.785367,0.787706,0.791549,0.796674,0.789954,0.787021,
fast,40000000,polly,interchanged+tiled,0.798202,0.800244,0.816117,0.832255,0.857619,0.805202,0.789111,0.801567,0.79743,0.856655,
fast,40000000,polly,interchanged+tiled+vector,0.78348,0.847046,0.792453,0.838264,0.784488,0.787172,0.788743,0.785411,0.814185,0.788697,
fast,40000000,polly,interchanged+tiled+vector+openmp,0.803099,0.793919,0.794157,0.833699,0.812429,0.791685,0.793563,0.792817,0.788632,0.79639,
fast,40000000,polly,normalopt,0.786527,0.786258,0.827804,0.793551,0.784859,0.789214,0.784889,0.7904,0.788251,0.862804,
fast,50000000,gcc,o2,3.02789,3.02996,3.02446,3.03197,3.02707,3.02598,3.05858,3.14318,3.16705,3.13116,
fast,50000000,polly,interchanged,0.983786,0.978774,0.976566,0.975443,0.980638,0.978583,0.979565,0.976452,0.978476,0.981999,
fast,50000000,polly,interchanged+tiled,1.00349,0.987225,0.985836,0.986635,1.04634,1.06821,0.999866,0.9888,0.983785,0.985714,
fast,50000000,polly,interchanged+tiled+vector,0.976873,0.977652,0.978599,0.977299,1.03893,0.991997,0.982371,0.978132,0.979827,0.979182,
fast,50000000,polly,interchanged+tiled+vector+openmp,0.990959,1.05708,0.988883,0.989605,0.994876,0.997023,0.993515,0.9874,0.986357,0.985714,
fast,50000000,polly,normalopt,0.981,0.979824,0.982207,0.98016,1.05156,1.0556,1.06755,0.976969,0.988723,0.977094,
fast,60000000,gcc,o2,3.71338,3.78949,3.885,3.90193,3.74562,3.66633,3.65338,3.72765,3.69738,3.85754,
fast,60000000,polly,interchanged,1.16903,1.17129,1.16948,1.17088,1.17057,1.17114,1.26113,1.17004,1.17398,1.17045,
fast,60000000,polly,interchanged+tiled,1.17852,1.23615,1.32057,1.19612,1.20431,1.1797,1.23153,1.20968,1.17856,1.17663,
fast,60000000,polly,interchanged+tiled+vector,1.1685,1.16891,1.16845,1.23026,1.17174,1.17054,1.16935,1.17383,1.1697,1.1706,
fast,60000000,polly,interchanged+tiled+vector+openmp,1.18026,1.26235,1.18138,1.17813,1.17797,1.23437,1.20648,1.18331,1.18169,1.20523,
fast,60000000,polly,normalopt,1.1736,1.16913,1.22907,1.17257,1.1708,1.19069,1.16799,1.17192,1.16957,1.16922,
fast,70000000,gcc,o2,4.42184,4.30958,4.43254,4.35077,4.26021,4.40616,4.24234,4.25388,4.30707,4.30479,
fast,70000000,polly,interchanged,1.36711,1.3687,1.36406,1.361,1.36221,1.36249,1.36127,1.36363,1.36501,1.36917,
fast,70000000,polly,interchanged+tiled,1.37899,1.38291,1.43421,1.38943,1.38235,1.42576,1.40579,1.37918,1.37675,1.40126,
fast,70000000,polly,interchanged+tiled+vector,1.36714,1.39547,1.3703,1.36853,1.37,1.36549,1.35886,1.36687,1.36391,1.36627,
fast,70000000,polly,interchanged+tiled+vector+openmp,1.38474,1.38222,1.37793,1.39178,1.37881,1.42739,1.40476,1.36853,1.37026,1.3671,
fast,70000000,polly,normalopt,1.36733,1.37218,1.41637,1.38138,1.36825,1.36813,1.36113,1.37161,1.36741,1.3987,
fast,80000000,gcc,o2,4.94348,4.89552,4.90189,4.8578,4.86908,4.82437,4.98278,4.87316,4.85629,4.90209,
fast,80000000,polly,interchanged,1.5637,1.56336,1.56428,1.56207,1.56401,1.5568,1.55394,1.55692,1.55668,1.56007,
fast,80000000,polly,interchanged+tiled,1.63347,1.56447,1.59225,1.58569,1.57223,1.60114,1.68834,1.57784,1.57749,1.58093,
fast,80000000,polly,interchanged+tiled+vector,1.63897,1.65082,1.55946,1.55681,1.55505,1.63011,1.56574,1.55893,1.55744,1.55879,
fast,80000000,polly,interchanged+tiled+vector+openmp,1.661,1.57844,1.56278,1.68372,1.62157,1.59078,1.56683,1.60444,1.65897,1.57467,
fast,80000000,polly,normalopt,1.55531,1.5633,1.5563,1.56427,1.55962,1.56534,1.68835,1.56455,1.56208,1.56443,
fast,90000000,gcc,o2,5.4258,5.4226,5.42773,5.41849,5.49787,5.43141,5.43549,5.51948,5.42742,5.42911,
fast,90000000,polly,interchanged,1.75076,1.75257,1.75186,1.75104,1.74962,1.74959,1.75025,1.75089,1.74731,1.77326,
fast,90000000,polly,interchanged+tiled,1.9077,1.79524,1.77031,1.76973,1.7675,1.77179,1.77074,1.835,1.76054,1.76894,
fast,90000000,polly,interchanged+tiled+vector,1.74784,1.81914,1.74815,1.76028,1.75564,1.75964,1.76876,1.75312,1.74623,1.74757,
fast,90000000,polly,interchanged+tiled+vector+openmp,1.76892,1.91286,1.94116,1.75962,1.7698,1.76936,1.80196,1.76769,1.77596,1.77011,
fast,90000000,polly,normalopt,1.74887,1.75891,1.76643,1.7502,1.75232,1.75171,1.7455,1.75176,1.78155,1.75822,
fast,100000000,gcc,o2,6.20419,6.08865,6.20291,6.20397,6.13485,6.29896,6.10719,6.12919,6.11954,6.17096,
fast,100000000,polly,interchanged,1.96988,2.09099,2.04281,1.93812,1.94825,1.9458,1.94441,1.94554,1.93961,1.94121,
fast,100000000,polly,interchanged+tiled,1.96038,1.98201,1.96633,2.00738,1.96543,1.95516,2.03709,2.04156,2.02228,2.02308,
fast,100000000,polly,interchanged+tiled+vector,1.93831,2.02175,1.93805,1.94306,1.94464,2.10719,2.06784,2.05122,1.95695,1.96076,
fast,100000000,polly,interchanged+tiled+vector+openmp,1.96118,1.95737,1.9574,1.96482,1.96151,1.96656,1.9624,1.96257,1.95805,1.96411,
fast,100000000,polly,normalopt,1.93954,1.94575,1.93801,2.03014,1.94327,1.94561,1.94166,1.94617,1.93814,1.93896,
slow,1000000,gcc,o2,0.140104,0.149893,0.140042,0.139338,0.140158,0.140018,0.140395,0.139259,0.140063,0.139548,
slow,1000000,polly,interchanged,0.0552718,0.0587406,0.0593534,0.0582186,0.0597423,0.0587384,0.0573773,0.0573459,0.0613416,0.0570172,
slow,1000000,polly,interchanged+tiled,0.0545384,0.0542112,0.0539788,0.0551148,0.0553818,0.0544426,0.0549578,0.0578249,0.0554868,0.0547728,
slow,1000000,polly,interchanged+tiled+vector,0.0556882,0.0606798,0.0588562,0.0555696,0.0557762,0.0557397,0.057911,0.0604427,0.0556618,0.0592346,
slow,1000000,polly,interchanged+tiled+vector+openmp,0.0554682,0.062114,0.057617,0.0578097,0.0584014,0.0716484,0.0548937,0.0674799,0.0574121,0.291292,
slow,1000000,polly,normalopt,0.0566307,0.0564602,0.0563004,0.0575081,0.0578218,0.0608829,0.0551743,0.0535572,0.0557475,0.0540487,
slow,10000000,gcc,o2,1.58654,1.59408,1.58155,1.58293,1.59144,1.58705,1.60635,1.58708,1.61663,1.59499,
slow,10000000,polly,interchanged,0.749043,0.750245,0.751114,0.746926,0.752642,0.748969,0.750813,0.748856,0.747052,0.746685,
slow,10000000,polly,interchanged+tiled,0.747483,0.748158,0.803696,0.766843,0.741066,0.740649,0.743445,0.738197,0.737842,0.740865,
slow,10000000,polly,interchanged+tiled+vector,0.748006,0.748191,0.746693,0.747614,0.749575,0.74345,0.747023,0.748594,0.747938,0.744222,
slow,10000000,polly,interchanged+tiled+vector+openmp,0.750726,0.747182,0.751912,0.757701,0.751351,0.747195,0.75542,0.745041,0.747026,0.743788,
slow,10000000,polly,normalopt,0.745172,0.749984,0.747024,0.749338,0.742557,0.74621,0.743587,0.741455,0.743322,0.745701,
slow,20000000,gcc,o2,4.13804,4.08343,4.05399,4.05186,4.10732,4.06097,4.06318,4.05137,4.05395,4.06398,
slow,20000000,polly,interchanged,2.35496,2.35311,2.34996,2.3652,2.35308,2.35612,2.38573,2.36243,2.35309,2.35509,
slow,20000000,polly,interchanged+tiled,2.34845,2.36894,2.35527,2.35155,2.34782,2.36055,2.37509,2.34744,2.3498,2.35021,
slow,20000000,polly,interchanged+tiled+vector,2.35526,2.35083,2.35038,2.40475,2.35238,2.36442,2.36332,2.40147,2.37612,2.43273,
slow,20000000,polly,interchanged+tiled+vector+openmp,3.0518,2.36178,2.36139,3.04888,3.04718,3.04608,3.04477,3.04664,2.77514,2.59969,
slow,20000000,polly,normalopt,2.35931,2.35178,2.42391,2.36254,2.35493,2.35551,2.41131,2.35288,2.35501,2.34973,
slow,30000000,gcc,o2,3.41031,3.43949,3.43529,3.47793,3.43803,3.413,3.42213,3.446,3.47493,3.47383,
slow,30000000,polly,interchanged,0.922537,0.916681,0.920047,0.916296,0.922947,0.919099,0.918664,0.917298,0.920096,0.923467,
slow,30000000,polly,interchanged+tiled,0.913946,0.909221,0.911314,0.909707,0.90791,0.906489,0.912672,0.910168,0.904864,0.91029,
slow,30000000,polly,interchanged+tiled+vector,1.03114,0.954305,0.915649,0.931339,0.91757,0.917798,0.913382,0.91598,0.926985,0.918024,
slow,30000000,polly,interchanged+tiled+vector+openmp,0.921759,0.917544,0.913164,0.948232,1.46226,0.956977,1.00411,0.918688,0.925458,0.916237,
slow,30000000,polly,normalopt,0.919449,0.912553,0.917803,0.909027,0.915715,0.913956,0.911914,0.908845,0.916232,0.921717,
slow,40000000,gcc,o2,11.7153,11.7867,11.6355,11.7608,12.0291,11.9451,12.2645,11.5941,11.588,11.7063,
slow,40000000,polly,interchanged,8.19388,8.32282,8.21527,8.20314,8.2349,8.20224,8.17413,8.2244,8.18434,8.34269,
slow,40000000,polly,interchanged+tiled,8.16654,8.33573,8.17976,8.25774,8.15857,8.30916,8.28108,8.22523,8.26897,8.26863,
slow,40000000,polly,interchanged+tiled+vector,8.21396,8.20553,8.23391,8.18216,8.27568,8.26466,8.17713,8.21369,8.27219,8.2432,
slow,40000000,polly,interchanged+tiled+vector+openmp,8.28815,8.20039,8.19529,8.20641,8.16667,8.17095,8.20633,8.24713,8.18234,8.23004,
slow,40000000,polly,normalopt,8.20094,8.18234,8.18662,8.2055,8.20135,8.36462,8.16826,8.19134,8.17611,8.18845,
slow,50000000,gcc,o2,8.21058,8.2418,8.10078,8.09311,8.20149,8.19333,8.0981,8.31031,8.23574,8.09561,
slow,50000000,polly,interchanged,3.98379,3.97247,3.97428,3.9925,3.96482,3.97389,3.98087,3.98243,3.9798,3.98727,
slow,50000000,polly,interchanged+tiled,4.07314,4.02356,3.99577,4.08741,3.98212,4.03074,4.03359,3.97232,4.03669,4.02238,
slow,50000000,polly,interchanged+tiled+vector,3.96798,3.99108,3.97711,3.97313,3.96624,3.97076,3.9642,4.06433,4.083,3.98466,
slow,50000000,polly,interchanged+tiled+vector+openmp,3.99671,4.04688,3.96037,3.96168,3.96216,3.96558,3.96615,4.05157,3.97134,3.96383,
slow,50000000,polly,normalopt,3.9758,3.97221,3.99235,3.98714,3.97101,3.96791,3.96628,3.96786,4.05614,3.98658,
slow,60000000,gcc,o2,6.87017,6.7858,6.88401,6.81278,6.86907,6.83676,6.88036,6.90239,6.77364,6.86048,
slow,60000000,polly,interchanged,1.8309,1.8401,2.84577,1.83519,1.83612,1.83235,1.85926,1.85484,1.84206,1.84018,
slow,60000000,polly,interchanged+tiled,1.83325,1.83951,1.82497,1.83582,1.83233,1.82366,1.91094,1.82983,1.82313,1.8243,
slow,60000000,polly,interchanged+tiled+vector,1.82744,1.8314,1.82557,1.83127,1.83607,1.83424,1.8296,1.82873,1.83395,1.83187,
slow,60000000,polly,interchanged+tiled+vector+openmp,1.83516,1.85612,1.8798,1.88425,1.86317,1.84018,1.86006,1.91277,1.87666,1.8899,
slow,60000000,polly,normalopt,1.83898,1.83698,1.83751,1.89314,1.85593,1.8299,1.83484,1.82883,1.83083,1.82802,
slow,70000000,gcc,o2,64.8663,64.8578,64.9822,64.8432,64.5578,64.5989,64.4683,64.5919,64.5837,64.5871,
slow,70000000,polly,interchanged,58.8052,58.9729,59.6039,59.2244,58.9864,58.5794,59.2799,58.9971,58.7821,58.7903,
slow,70000000,polly,interchanged+tiled,58.7496,58.7106,58.7614,58.9492,58.7269,59.01,59.401,59.018,58.9263,58.6305,
slow,70000000,polly,interchanged+tiled+vector,58.6839,58.9379,58.9029,59.207,59.7953,59.2516,58.9532,59.6947,59.4051,58.8548,
slow,70000000,polly,interchanged+tiled+vector+openmp,58.8228,58.7537,58.5621,59.0919,58.9156,59.1189,59.1169,59.0062,59.1833,59.7854,
slow,70000000,polly,normalopt,58.6404,58.7583,58.7319,58.7381,58.6851,58.7523,58.7711,58.7536,58.6847,58.8563,
slow,80000000,gcc,o2,37.4317,37.4781,37.4392,37.3968,37.5019,37.5454,37.9039,38.2176,37.5797,37.4559,
slow,80000000,polly,interchanged,30.903,30.7544,30.8596,30.9824,30.9144,31.4432,31.0911,31.2317,31.4836,31.4492,
slow,80000000,polly,interchanged+tiled,31.054,30.9107,31.0117,30.821,31.0357,31.0743,31.0402,30.9364,31.0981,31.4607,
slow,80000000,polly,interchanged+tiled+vector,30.9049,30.7854,30.8311,31.0141,31.6528,31.1088,30.89,31.0355,31.1686,31.49,
slow,80000000,polly,interchanged+tiled+vector+openmp,31.3445,31.1336,30.8374,31.4664,31.5022,31.3826,30.8791,31.1482,31.1448,30.7977,
slow,80000000,polly,normalopt,30.8714,30.942,30.9082,30.7539,30.8295,30.9556,30.7098,30.9087,30.745,30.8982,
slow,90000000,gcc,o2,16.2888,16.4675,16.3507,16.5407,16.6785,16.3277,16.4303,16.3768,16.5202,16.3641,
slow,90000000,polly,interchanged,9.03436,8.89248,9.00536,8.97079,8.94112,9.02216,8.94645,8.98601,8.88542,8.97972,
slow,90000000,polly,interchanged+tiled,8.97625,8.96263,8.9434,8.87001,8.85669,8.84635,8.86544,8.87159,8.85642,8.84851,
slow,90000000,polly,interchanged+tiled+vector,9.02297,8.89436,8.9002,9.13865,9.07042,8.97761,9.04248,9.0327,9.08555,8.87304,
slow,90000000,polly,interchanged+tiled+vector+openmp,8.88106,9.0203,9.04434,9.14954,9.02456,9.05087,9.0685,8.97199,8.91368,8.93575,
slow,90000000,polly,normalopt,8.88326,8.89779,8.8679,8.8888,8.98914,8.89596,8.92448,8.86606,8.89557,8.88455,
slow,100000000,gcc,o2,21.4462,21.351,21.3827,21.2445,21.1392,21.3283,21.1867,21.2357,21.2323,21.1272,
slow,100000000,polly,interchanged,12.9335,12.9261,12.9367,13.0183,12.899,12.9069,12.9639,12.8959,12.8906,12.9214,
slow,100000000,polly,interchanged+tiled,12.8932,12.8534,12.8726,12.8986,12.8493,12.9271,12.8766,12.8641,12.8455,12.8721,
slow,100000000,polly,interchanged+tiled+vector,12.8811,12.87,12.9366,12.8727,12.956,12.8839,12.8809,13.4017,16.3625,16.6356,
slow,100000000,polly,interchanged+tiled+vector+openmp,13.3406,12.9684,12.9502,12.9043,13.054,13.7173,13.2175,13.0588,12.8602,12.8952,
slow,100000000,polly,normalopt,12.9752,12.8952,12.9289,12.9814,12.9183,13.0076,12.8804,12.926,12.9772,12.8793,
